[2019-06-10 15:46:58][log.py][line:146][INFO] Scrapy 1.6.0 started (bot: gov_all)
[2019-06-10 15:46:58][log.py][line:149][INFO] Versions: lxml 4.2.1.0, libxml2 2.9.8, cssselect 1.0.3, parsel 1.5.1, w3lib 1.20.0, Twisted 18.9.0, Python 3.6.5 |Anaconda, Inc.| (default, Mar 29 2018, 13:32:41) [MSC v.1900 64 bit (AMD64)], pyOpenSSL 18.0.0 (OpenSSL 1.0.2k  26 Jan 2017), cryptography 2.2.2, Platform Windows-10-10.0.17134-SP0
[2019-06-10 15:46:58][log.py][line:38][INFO] Overridden settings: {'BOT_NAME': 'gov_all', 'LOG_LEVEL': 'INFO', 'NEWSPIDER_MODULE': 'gov_all.spiders', 'SPIDER_MODULES': ['gov_all.spiders']}
[2019-06-10 15:46:58][log.py][line:60][INFO] Telnet Password: d4a5107b4ecf1723
[2019-06-10 15:46:58][log.py][line:48][INFO] Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.logstats.LogStats']
[2019-06-10 15:46:59][log.py][line:48][INFO] Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
[2019-06-10 15:46:59][log.py][line:48][INFO] Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
[2019-06-10 15:46:59][log.py][line:48][INFO] Enabled item pipelines:
['gov_all.pipelines.GovAllPipeline']
[2019-06-10 15:46:59][log.py][line:256][INFO] Spider opened
[2019-06-10 15:46:59][log.py][line:48][INFO] Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
[2019-06-10 15:46:59][log.py][line:74][INFO] Telnet console listening on 127.0.0.1:6023
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gzdt/> (referer: None)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/> (referer: None)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/> (referer: None)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/yaowen/> (referer: None)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gzdt/> (referer: http://www.beijing.gov.cn/ywdt/gzdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/yaowen/> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1587860.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1587616.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1587776.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1588600.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1588182.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1587801.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1588018.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1588455.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1588788.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1589022.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1588804.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1588878.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1589185.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1589522.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1589628.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zybwdt/t1589331.htm> (referer: http://www.beijing.gov.cn/ywdt/zybwdt/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589601.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589603.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589776.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589732.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589767.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589731.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589771.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589773.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589876.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589878.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589886.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589893.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589873.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1589888.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590041.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590045.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590052.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590081.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590083.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590096.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590174.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590198.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590090.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590092.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/gqrd/t1590426.htm> (referer: http://www.beijing.gov.cn/ywdt/gqrd/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/gongkai/ldhd/t1589796.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/yaowen/t1589816.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/yaowen/t1589789.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/gongkai/ldhd/t1589909.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/gongkai/ldhd/t1589914.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zwzt/zyshceddzbj/gzjzhcx/t1590176.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/yaowen/t1589964.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zwzt/ltbwz/zxdt/t1590153.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/gongkai/ldhd/t1590128.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/hyxx/szx/t1590135.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/hyxx/sw/t1590120.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/yaowen/t1590229.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/gongkai/ldhd/t1590125.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/hyxx/szx/t1590217.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/hyxx/szx/t1590218.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/hyxx/srd/t1590219.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/gongkai/ldhd/t1590216.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zyldhd/t1590215.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/yaowen/t1590263.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:46:59][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/ywdt/zwzt/hjdc/bljggk/t1590366.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
[2019-06-10 15:47:00][log.py][line:238][DEBUG] Crawled (200) <GET http://www.beijing.gov.cn/gongkai/ldhd/t1590248.htm> (referer: http://www.beijing.gov.cn/ywdt/yaowen/)
